Date,Open,High,Low,Close*,Adj Close**,Volume
2016-07-01,717.32,766.0,716.54,758.81,758.81,68635500
2016-08-01,759.87,774.98,750.35,769.16,769.16,50000400
2016-09-01,770.9,839.95,756.0,837.31,837.31,67335700
2016-10-01,836.0,847.21,774.61,789.82,789.82,77063800
2016-11-01,799.0,800.84,710.1,750.57,750.57,110085900
2016-12-01,752.41,782.46,736.7,749.87,749.87,73660200
2017-01-01,757.92,843.84,747.7,823.48,823.48,70614000
2017-02-01,829.21,860.86,803.0,845.04,845.04,71748300
2017-03-01,853.05,890.35,833.5,886.54,886.54,60710700
2017-04-01,888.0,949.59,884.49,924.99,924.99,73539700
2017-05-01,927.8,1001.2,927.8,994.62,994.62,76202000
2017-06-01,998.59,1017.0,927.0,968.0,968.0,96135400
2017-07-01,972.79,1083.31,951.0,987.78,987.78,78812400
2017-08-01,996.11,1006.4,936.33,980.6,980.6,77391800
2017-09-01,984.2,1000.0,931.75,961.35,961.35,59291800
2017-10-01,964.0,1122.79,950.37,1105.28,1105.28,83334100
2017-11-01,1105.4,1213.41,1086.87,1176.75,1176.75,77165000
2017-12-01,1172.05,1194.78,1124.74,1169.47,1169.47,57760200
2018-01-01,1172.0,1472.58,1170.51,1450.89,1450.89,96371200
2018-02-01,1445.0,1528.7,1265.93,1512.45,1512.45,137784000
2018-03-01,1513.6,1617.54,1365.2,1447.34,1447.34,130400100
2018-04-01,1417.62,1638.1,1352.88,1566.13,1566.13,129919600
2018-05-01,1563.22,1635.0,1546.02,1629.62,1629.62,71615500
2018-06-01,1637.03,1763.1,1635.09,1699.8,1699.8,85941300
2018-07-01,1682.7,1880.05,1678.06,1777.44,1777.44,97521100
2018-08-01,1784.0,2025.57,1776.02,2012.71,2012.71,96575800
2018-09-01,2026.5,2050.5,1865.0,2003.0,2003.0,94445500
2018-10-01,2021.99,2033.19,1476.36,1598.01,1598.01,183220800
2018-11-01,1623.53,1784.0,1420.0,1690.17,1690.17,139290000
2018-12-01,1769.46,1778.34,1307.0,1501.97,1501.97,154812700
2019-01-01,1465.2,1736.41,1460.93,1718.73,1718.73,134001700
2019-02-01,1638.88,1673.06,1566.76,1639.83,1639.83,80936900
2019-03-01,1655.13,1823.75,1586.57,1780.75,1780.75,100832200
2019-04-01,1800.11,1956.34,1798.73,1926.52,1926.52,81239200
2019-05-01,1933.09,1964.4,1772.7,1775.07,1775.07,98214400
2019-06-01,1760.01,1935.2,1672.0,1893.63,1893.63,74746500
2019-07-01,1922.98,2035.8,1849.44,1866.78,1866.78,73148800
2019-08-01,1871.72,1897.92,1743.51,1776.29,1776.29,79771200
2019-09-01,1770.0,1853.66,1709.22,1735.91,1735.91,61172900
2019-10-01,1746.0,1798.85,1685.06,1776.66,1776.66,70360500
2019-11-01,1788.01,1824.69,1722.71,1800.8,1800.8,52076200
2019-12-01,1804.4,1901.4,1735.0,1847.84,1847.84,68149600
2020-01-01,1875.0,2055.72,1815.34,2008.72,2008.72,84698300
2020-02-01,2010.6,2185.95,1811.13,1883.75,1883.75,92510100
2020-03-01,1906.49,1996.33,1626.03,1949.72,1949.72,163809100
2020-04-01,1932.97,2475.0,1889.15,2474.0,2474.0,124609800
2020-05-01,2336.8,2525.45,2256.38,2442.37,2442.37,82584400
2020-06-01,2448.0,2796.0,2437.13,2758.82,2758.82,87818300
2020-07-01,2757.99,3344.29,2754.0,3164.68,3164.68,127502000
2020-08-01,3180.51,3495.0,3073.0,3450.96,3450.96,83516600
2020-09-01,3489.58,3552.25,2871.0,3148.73,3148.73,115899300
2020-10-01,3208.0,3496.24,3019.0,3036.15,3036.15,116226100
2020-11-01,3061.74,3366.8,2950.12,3168.04,3168.04,90810500
2020-12-01,3188.5,3350.65,3072.82,3256.93,3256.93,77556200
2021-01-01,3270.0,3363.89,3086.0,3206.2,3206.2,71528900
